,1_runtime,1_rmse_mean,1_rmse_stdev,1_r2_mean,1_r2_stdev,25_runtime,25_rmse_mean,25_rmse_stdev,25_r2_mean,25_r2_stdev,50_runtime,50_rmse_mean,50_rmse_stdev,50_r2_mean,50_r2_stdev
0,,0.6785133532021111,0.011424697986659243,0.7515757823828522,0.008032933944771864,206.87490892410278,0.6785133532021111,0.011424697986659243,0.7515757823828522,0.008032933944771864,125.52136874198914,0.6785133532021111,0.011424697986659243,0.7515757823828522,0.008032933944771864
1,,0.6738914055714904,0.012388817580396214,0.7512612430103269,0.009178701674945168,206.87490892410278,0.6725980082341513,0.00983142466953024,0.7523807395614704,0.007218944005858005,125.52136874198914,0.6706906281111723,0.010743204525575294,0.7530966428810255,0.00792959536166549
2,,0.6691838030383405,0.009935145076937602,0.7497510740643148,0.007792915555072274,206.87490892410278,0.6696574985160971,0.0121589777107143,0.7505739809555605,0.008866929090857848,125.52136874198914,0.6688388257098853,0.011673241206413781,0.7507104718443623,0.008406413528949204
3,,0.6694394115725832,0.01131116314507727,0.7456226970675052,0.00849485365555236,206.87490892410278,0.66459006040344,0.013286396089731544,0.7498942440057444,0.009732068728546596,125.52136874198914,0.6666693867698603,0.013249937252187408,0.7486608155093079,0.009301028076726683
4,,0.6687592102801411,0.013373587149743385,0.742480244451429,0.009731878921288068,206.87490892410278,0.6625693521223343,0.009118898258555757,0.7476013752783994,0.005742689251413532,125.52136874198914,0.6670748233196679,0.013624183833352175,0.7452187453627892,0.00955550157775345
5,,0.659963543966621,0.0073636276627962426,0.7460144235644925,0.004814830543029188,206.87490892410278,0.660695919071642,0.00788421140429711,0.745590158987839,0.004524880393109426,125.52136874198914,0.6629494442672986,0.015179346055725799,0.7448826785041934,0.01084047583721374
6,,0.6560762093104829,0.008753100102953765,0.7451594398955411,0.005889355861256033,206.87490892410278,0.6503344424913191,0.006802995444146362,0.7500945908410297,0.004284331424302827,125.52136874198914,0.6609812623694775,0.015156983418635833,0.7432487592872471,0.011248371203849814
7,,0.647913568802195,0.006450221358866374,0.7476121887118709,0.0035611693261710766,206.87490892410278,0.6475447716995301,0.008579971724791177,0.7493670499169728,0.005384565603723942,125.52136874198914,0.6581081007119185,0.012317211675728043,0.7420003052456074,0.009122497248579262
8,,0.643333336856702,0.0074562376218780865,0.7476568052565037,0.004664123121148173,206.87490892410278,0.6462562856299698,0.010948990712685144,0.7471802230578398,0.008150465220637866,125.52136874198914,0.6531370626488516,0.01285179584192663,0.7427636604698508,0.00978598914000613
9,,0.6400305996723034,0.005422325560053794,0.747486191568293,0.003007043128863044,206.87490892410278,0.6410081453726021,0.010200228861172556,0.7483964761075427,0.007929780475938678,125.52136874198914,0.6429653460302541,0.009026615341985848,0.7483643292895842,0.0067061476931778155
10,,0.6385976666583805,0.005117208217234821,0.7453970526782042,0.002895001641659576,206.87490892410278,0.6384125459726925,0.010516547919488913,0.7470355069185154,0.008587319840022714,125.52136874198914,0.6417658304950886,0.005856638648982251,0.7467589239756084,0.0040343341653988314
